wti,spread,n_completed,n_overruns,ess_d,tail_ess,n_admissible,n_eligible,wti_weighted_mean,brent_weighted_mean,wti_bias_abs,wti_bias_rel,ev_usd,cvar_usd,var_usd,decision_ratio,p_loss,mean_delta_usd,std_delta_usd,skew_delta,median_delta_usd,p10_delta_usd,p90_delta_usd,sigma_calibration_obs,scenario_price_range
61.0,6.0,10000,0,114.34835823436376,10.366561618842264,194,1917,61.477402489535095,66.74618253419207,0.4774024895350948,0.0078262703202474,1395968.789644523,5520119.292957354,4720861.677461092,0.2528874315135761,0.3318,-96163.912716,414358.9276809615,-0.690932872237871,-61542.89999999991,-627072.2000000001,399988.3800000008,777,10.0
61.0,6.25,10000,0,113.12756950544062,10.454127289453876,192,1917,61.553267449654086,66.97491538523026,0.5532674496540864,0.0090699581910505,1348269.3101297554,5594489.108868648,4850371.3474853095,0.2409995414938631,0.3314,-86995.36583499998,406864.79895083257,-0.5912649725991891,-54077.039999999964,-605027.6400000002,410268.9000000004,782,10.0
61.0,6.5,10000,0,114.88924463185224,11.203728600878373,194,1917,61.53608043308282,67.06901305504843,0.536080433082823,0.0087882038210298,1375033.3762916531,5557330.880893536,4773513.654806262,0.2474269403355317,0.3324,-78787.28143699998,405474.5711449576,-0.5667449480541372,-49145.96999999974,-586560.7800000003,422072.46,783,10.0
61.25,3.5,10000,0,88.63206452916778,9.0665119315297,148,1917,60.93110261274425,65.61920685919134,0.3188973872557525,0.0052064879551959,1930747.7041197,4927488.734524355,3512704.8474197965,0.3918319874771002,0.2798,-84845.77651499998,389825.8887071495,-0.8232993208898098,-40154.21999999974,-597983.5800000001,346491.5999999997,686,10.0
61.25,3.75,10000,0,93.79898931857277,8.532423208191126,156,1917,61.05477425560399,65.75995569739977,0.1952257443960121,0.0031873590921797,1905359.1063166603,5199066.55624609,3920394.957754975,0.3664809991762054,0.27,-79349.81874999998,376586.6936890216,-0.6810521617000844,-37833.75,-581230.1400000006,348395.3999999991,698,10.0
61.25,4.0,10000,0,97.76294839420667,10.03290793803676,161,1917,61.15061356966135,65.8615815860314,0.0993864303386544,0.0016226355973657,1911994.6333264075,4904495.213199583,3520422.545614169,0.3898453459961815,0.2754,-79788.10427099997,380479.9848299973,-0.9413044818892232,-37329.300000000745,-580278.2399999984,331070.8200000003,714,10.0
61.25,4.25,10000,0,103.14061864606636,9.626492106276473,167,1917,61.24019749043868,65.99675743630489,0.0098025095613252,0.0001600409724297,1865411.0986382675,4950413.955319233,3569999.340155913,0.376819214610099,0.2752,-83637.18347499997,374610.57849797845,-0.828751415361065,-47979.75,-579592.8719999999,344016.6599999998,724,10.0
61.25,4.5,10000,0,109.1316978970457,10.853520882174177,174,1917,61.35082513564355,66.15627881079693,0.1008251356435465,0.0016461246635681,1862077.0504886892,5031934.578531475,3602875.92396668,0.3700519196797904,0.2718,-90960.51676099998,381447.7130303783,-0.7521868088266929,-48528.08999999985,-597983.5800000001,345158.9400000005,730,10.0
61.25,4.75,10000,0,113.69520837689572,10.800069120442368,184,1917,61.40373634613452,66.26934340533947,0.1537363461345151,0.0025099811613798,1820279.5436700943,5122999.539630693,3692836.768905366,0.3553151878286747,0.2732,-93588.53653099998,388336.77952174953,-0.8242109999854816,-47418.30000000016,-606550.6800000002,348395.3999999997,742,10.0
61.25,5.0,10000,0,117.31362521444947,11.313241017286632,192,1917,61.438410664702936,66.36914983631107,0.1884106647029355,0.0030760924849458,1658903.3633426605,5298089.35425626,4413601.286855462,0.3131135117624937,0.2983,-91264.54579299995,387397.0763185969,-0.8129915372719836,-48495.02999999933,-598550.1029999998,348395.3999999993,755,10.0
61.25,5.25,10000,0,118.38409084188856,11.438506588579797,195,1917,61.54717883179891,66.57194071237275,0.2971788317989094,0.004851899294676,1535517.3378984528,5279100.735195356,4437625.292421339,0.2908672167707044,0.3073,-94887.56556199996,393546.5718259471,-0.7428324479626756,-53730.85999999941,-613499.5499999993,375619.73999999976,767,10.0
61.25,5.5,10000,0,118.08643266527572,11.059010882066708,194,1917,61.61551747108287,66.69920739388341,0.3655174710828675,0.0059676321809447,1391115.64314197,5495793.069301767,4674323.292645225,0.2531237303879619,0.3339,-95539.07565699996,406901.8875767841,-0.7143000388712833,-56901.9599999995,-608466.1649999998,387613.6799999998,771,10.0
61.25,5.75,10000,0,119.32529885796484,12.429153823207717,199,1917,61.67300874278151,66.85448235268012,0.4230087427815121,0.0069062651882695,1376065.9988521622,5516397.328166223,4715678.80165039,0.2494501242370803,0.334,-86622.27444399998,388198.8937690006,-0.7813140294065403,-52967.25,-597983.5799999996,386756.9699999997,784,10.0
61.25,6.0,10000,0,117.4467983630025,11.241007194244602,198,1917,61.75886101935542,67.06945622446683,0.5088610193554217,0.0083079350098844,1369707.5675012716,5553345.762830988,4697181.008205064,0.246645468515366,0.3264,-80678.70464699998,398135.4731687358,-0.7443673884885078,-42962.03999999957,-598105.3700000001,399988.3800000008,790,10.0
61.25,6.25,10000,0,119.58798752913314,11.383298424551496,201,1917,61.75746807658553,67.16914745680555,0.507468076585532,0.0082851930871107,1335083.160577732,5664454.667875098,4803766.646120628,0.2356949148431548,0.3387,-72681.19536799997,402079.1345845165,-0.6941459512621532,-46308.51000000024,-586560.7800000003,433959.99999999953,792,10.0
61.25,6.5,10000,0,117.2897386781666,10.474275180157534,197,1917,61.829963161150765,67.38744011768782,0.579963161150765,0.0094687863045022,1322920.117658142,5514883.285997202,4671787.506049169,0.2398817978645456,0.3398,-66651.60139899998,396479.653024944,-0.5286441355386005,-40154.220000000205,-586827.3119999997,435018.2999999998,796,10.0
